"num","Year","Cases","Canton","Month"
"451",2017,78,"Pococí",8
"452",2017,64,"Pococí",9
"453",2017,58,"Pococí",10
"454",2017,44,"Pococí",11
"455",2017,26,"Pococí",12
"456",2018,23,"Pococí",1
"457",2018,19,"Pococí",2
"458",2018,11,"Pococí",3
"459",2018,18,"Pococí",4
"460",2018,22,"Pococí",5
"461",2018,17,"Pococí",6
"462",2018,32,"Pococí",7
"463",2018,25,"Pococí",8
"464",2018,20,"Pococí",9
"465",2018,28,"Pococí",10
"466",2018,29,"Pococí",11
"467",2018,6,"Pococí",12
"468",2019,1,"Pococí",12
"469",2019,5,"Pococí",1
"470",2019,28,"Pococí",2
"471",2019,22,"Pococí",3
"472",2019,40,"Pococí",4
"473",2019,58,"Pococí",5
"474",2019,70,"Pococí",6
"475",2019,157,"Pococí",7
"476",2019,133,"Pococí",8
"477",2019,146,"Pococí",9
"478",2019,29,"Pococí",10
"479",2000,10,"Siquirres",1
"480",2000,11,"Siquirres",2
"481",2000,10,"Siquirres",3
"482",2000,1,"Siquirres",4
"483",2000,5,"Siquirres",5
"484",2000,1,"Siquirres",6
"485",2000,5,"Siquirres",7
"486",2000,6,"Siquirres",8
"487",2000,4,"Siquirres",9
"488",2000,5,"Siquirres",10
"489",2000,4,"Siquirres",11
"490",2000,10,"Siquirres",12
"491",2001,2,"Siquirres",1
"492",2001,3,"Siquirres",2
"493",2001,8,"Siquirres",3
"494",2001,1,"Siquirres",4
"495",2001,4,"Siquirres",5
"496",2001,1,"Siquirres",6
"497",2001,3,"Siquirres",7
"498",2001,2,"Siquirres",8
"499",2001,75,"Siquirres",9
"500",2001,72,"Siquirres",10
"501",2001,14,"Siquirres",11
"502",2001,8,"Siquirres",12
"503",2002,2,"Siquirres",12
"504",2002,4,"Siquirres",1
"505",2002,8,"Siquirres",2
"506",2002,0,"Siquirres",3
"507",2002,4,"Siquirres",4
"508",2002,12,"Siquirres",5
"509",2002,0,"Siquirres",6
"510",2002,1,"Siquirres",7
"511",2002,9,"Siquirres",8
"512",2002,38,"Siquirres",9
"513",2002,11,"Siquirres",10
"514",2002,5,"Siquirres",11
"515",2003,27,"Siquirres",12
"516",2003,0,"Siquirres",1
"517",2003,1,"Siquirres",2
"518",2003,1,"Siquirres",3
"519",2003,1,"Siquirres",4
"520",2003,1,"Siquirres",5
"521",2003,280,"Siquirres",6
"522",2003,288,"Siquirres",7
"523",2003,226,"Siquirres",8
"524",2003,87,"Siquirres",9
"525",2003,26,"Siquirres",10
"526",2003,55,"Siquirres",11
"527",2004,28,"Siquirres",1
"528",2004,14,"Siquirres",2
"529",2004,25,"Siquirres",3
"530",2004,25,"Siquirres",4
"531",2004,29,"Siquirres",5
"532",2004,19,"Siquirres",6
"533",2004,15,"Siquirres",7
"534",2004,52,"Siquirres",8
"535",2004,49,"Siquirres",9
"536",2004,34,"Siquirres",10
"537",2004,47,"Siquirres",11
"538",2004,27,"Siquirres",12
"539",2005,47,"Siquirres",1
"540",2005,33,"Siquirres",2
"541",2005,52,"Siquirres",3
"542",2005,90,"Siquirres",4
"543",2005,95,"Siquirres",5
"544",2005,184,"Siquirres",6
"545",2005,344,"Siquirres",7
"546",2005,717,"Siquirres",8
