"Canton" "NINO41" "NINO42" "NINO43"
"143" "Alajuela" -2.01940164822025 -6.98562634505411 -5.9326505123236
"144" "Alajuela" -1.85421127066794 -6.92585955725291 -5.95407717398909
"145" "Alajuela" -1.68682638737477 -6.85893457412745 -5.97719238958603
"146" "Alajuela" -1.51964289772683 -6.78396649734785 -6.00193733030344
"147" "Alajuela" -1.35521547736293 -6.70004691389645 -6.02824988814103
"148" "Alajuela" -1.19603344097651 -6.60627455045987 -6.05606423217707
"149" "Alajuela" -1.04432110399293 -6.50180592942907 -6.08531043316305
"150" "Alajuela" -0.901899750652501 -6.38593588189786 -6.11591416302104
"151" "Alajuela" -0.77012696679634 -6.25822200301168 -6.14779647539661
"152" "Alajuela" -0.649906906467352 -6.11867260791667 -6.18087367272442
"153" "Alajuela" -0.541750830273827 -5.96802406245519 -6.21505726428949
"154" "Alajuela" -0.445863475135688 -5.80813876513524 -6.25025401852129
"155" "Alajuela" -0.362234698526012 -5.64255451542193 -6.28636611125908
"156" "Alajuela" -0.290722854366271 -5.47719715641495 -6.32329137000935
"157" "Alajuela" -0.231122981747845 -5.32120360999394 -6.36092361232715
"158" "Alajuela" -0.183217433182599 -5.18763614402377 -6.39915307445275
"159" "Alajuela" -0.146808703246756 -5.09351005150422 -6.43786692429461
"160" "Alajuela" -0.121734115351394 -5.05794200659438 -6.47694985084758
"161" "Alajuela" -0.107859560062646 -5.09666390917723 -6.51628472025391
"162" "Alajuela" -0.105043224833598 -5.21216281788641 -6.55575328703553
"163" "Alajuela" -0.113044982902072 -5.38387681643827 -6.59523694762445
"164" "Alajuela" -0.131314773283509 -5.56959058510374 -6.63461752225961
"165" "Alajuela" -0.158453163643506 -5.72351540215703 -6.67377805065285
"166" "Alajuela" -0.190551309146637 -5.81702094841384 -6.71260358658685
"167" "Alajuela" -0.214125045247274 -5.84457390961768 -6.75098197680489
"168" "Alajuela" -0.147389948816022 -5.81614372126853 -6.78880461017833
"169" "Alajuela" 4.5030003897085 -5.74732261484168 -6.82596712416164
"170" "Alajuela" 5.20579704337684 -5.65318180738088 -6.86237005692089
"171" "Alajuela" 5.16518926194451 -5.5458652849056 -6.89791943518469
"172" "Alajuela" 5.0613717035575 -5.43424883195941 -6.93252728974548
"173" "Alajuela" 4.93212076426674 -5.32440753712596 -6.96611209255193
"174" "Alajuela" 4.78809844468969 -5.2202676716149 -6.99859911140016
"175" "Alajuela" 4.63522679820834 -5.12420152432601 -7.02992068027446
"176" "Alajuela" 4.47834498167517 -5.03749938341822 -7.0600163853362
"177" "Alajuela" 4.3220391177386 -4.96072024257968 -7.0888331683527
"178" "Alajuela" 4.17075104719374 -4.89394309182226 -7.11632535094799
"179" "Alajuela" 4.02865751138252 -4.83694288976521 -7.14245458441063
"180" "Alajuela" 3.89949722265628 -4.78931174771732 -7.16718973088916
"181" "Alajuela" 3.78643030119676 -4.75054119023707 -7.19050668263682
"182" "Alajuela" 3.69196729332716 -4.7200771831972 -7.21238812653707
"183" "Alajuela" 3.61797233904607 -4.69735632445583 -7.23282326146525
"184" "Alajuela" 3.56572439114736 -4.68182913553158 -7.25180747614107
"185" "Alajuela" 3.53601169571608 -4.67297461750458 -7.26934199502785
"186" "Alajuela" 3.52923533584602 -4.6703089749305 -7.28543349957036
"187" "Alajuela" 3.54550324983858 -4.67339052845951 -7.3000937316628
"188" "Alajuela" 3.58470303031575 -4.68182222284971 -7.31333908573673
"189" "Alajuela" 3.64654785964573 -4.69525271322745 -7.32519019528348
"190" "Alajuela" 3.73059454310653 -4.71337672207438 -7.33567151900574
"191" "Alajuela" 3.83623611972256 -4.73593516228387 -7.34481093115231
"192" "Alajuela" 3.96267464294551 -4.76271538925085 -7.35263931994949
"193" "Alajuela" 4.10888292793092 -4.79355185694555 -7.35919019741919
"194" "Alajuela" 4.27356728510647 -4.82832739411859 -7.36449932328096
"195" "Alajuela" 4.45514562402465 -4.86697527495086 -7.36860434508236
"196" "Alajuela" 4.65175524837114 -4.90948222217741 -7.3715444561969
"197" "Alajuela" 4.86130059093006 -4.95589243719484 -7.37336007287443
"198" "Alajuela" 5.08154265386225 -5.00631268414299 -7.37409253112772
"199" "Alajuela" 5.31022084959446 -5.06091833929112 -7.37378380389087
"200" "Alajuela" 5.54518818426136 -5.11996011723714 -7.37247623858788
"201" "Alajuela" 5.78453644257392 -5.18377084788927 -7.37021231500162
"202" "Alajuela" -5.97330889432112 -5.25277112580275 -7.36703442312988
"203" "Alajuela" -5.72953547648526 -5.32747178186657 -7.36298466055284
"204" "Alajuela" -5.48493370594342 -5.40846981138823 -7.35810464871041
"205" "Alajuela" -5.23992214040272 -5.4964325190121 -7.3524353673943
